Region,2016 presidential election,Governor,State Senate,Senate Count,State House,House Count,Senior U.S. Senator,Junior U.S. Senator,U.S. House of Representatives,US House Count
Alabama,Republican,Republican,Republican,27-8,Republican,77-28,Republican,Democratic,Republican,6-1
Alaska,Republican,Republican,Republican,13-7,Coalition,23-17,Republican,Republican,Republican,0-0
Arizona,Republican,Republican,Republican,17-13,Republican,31-29,Democratic,Republican,Democratic,5-4
Arkansas,Republican,Republican,Republican,26-9,Republican,76-24,Republican,Republican,Republican,4-0
California,Democratic,Democratic,Democratic,29-11,Democratic,61-19,Democratic,Democratic,Democratic,46-7
Colorado,Democratic,Democratic,Democratic,19-16,Democratic,41-24,Democratic,Republican,Democratic,4-3
Connecticut,Democratic,Democratic,Democratic,22-14,Democratic,91-60,Democratic,Democratic,Democratic,5-0
Delaware,Democratic,Democratic,Democratic,12-9,Democratic,26-15,Democratic,Democratic,Democratic,0-0
Florida,Republican,Republican,Republican,23-17,Republican,73-47,Republican,Republican,Republican,14-13
Georgia,Republican,Republican,Republican,35-21,Republican,105-75,Republican,Republican,Republican,9-5
Hawaii,Democratic,Democratic,Democratic,24-1,Democratic,46-5,Democratic,Democratic,Democratic,2-0
Idaho,Republican,Republican,Republican,28-7,Republican,56-14,Republican,Republican,Republican,2-0
Illinois,Democratic,Democratic,Democratic,40-19,Democratic,74-44,Democratic,Democratic,Democratic,13-5
Indiana,Republican,Republican,Republican,40-10,Republican,67-33,Republican,Republican,Republican,7-2
Iowa,Republican,Republican,Republican,32-18,Republican,53-47,Republican,Republican,Democratic,3-1
Kansas,Republican,Democratic,Republican,28-11,Republican,84-41,Republican,Republican,Republican,3-1
Kentucky,Republican,Democratic,Republican,29-9,Republican,61-39,Republican,Republican,Republican,5-1
Louisiana,Republican,Democratic,Republican,27-12,Republican,68-35,Republican,Republican,Republican,5-1
Maine,Democratic,Democratic,Democratic,21-14,Democratic,89-56,Republican,Independent[e] ,Democratic,2-0
Maryland,Democratic,Republican,Democratic,32-15,Democratic,99-42,Democratic,Democratic,Democratic,6-1
Massachusetts,Democratic,Republican,Democratic,34-6,Democratic,127-32,Democratic,Democratic,Democratic,9-0
Michigan,Republican,Democratic,Republican,22-16,Republican,58-52,Democratic,Democratic,Democratic,7-6
Minnesota,Democratic,Democratic,Republican,35-32,Democratic,75-59,Democratic,Democratic,Democratic,5-3
Mississippi,Republican,Republican,Republican,36-16,Republican,75-46,Republican,Republican,Republican,3-1
Missouri,Republican,Republican,Republican,24-10,Republican,116-47,Republican,Republican,Republican,6-2
Montana,Republican,Democratic,Republican,30-20,Republican,58-42,Democratic,Republican,Republican,0-0
Nebraska,Republican,Republican,Unicameral,0-0,Independent,0-0,Republican,Republican,Republican,3-0
Nevada,Democratic,Democratic,Democratic,13-8,Democratic,29-13,Democratic,Democratic,Democratic,3-1
New Hampshire,Democratic,Republican,Democratic,14-10,Democratic,234-166,Democratic,Democratic,Democratic,2-0
New Jersey,Democratic,Democratic,Democratic,25-15,Democratic,54-26,Democratic,Democratic,Democratic,10-2
New Mexico,Democratic,Democratic,Democratic,26-16,Democratic,46-24,Democratic,Democratic,Democratic,3-0
New York,Democratic,Democratic,Democratic,40-22-1,Democratic,106-43,Democratic,Democratic,Democratic,21-5
North Carolina,Republican,Democratic,Republican,29-21,Republican,65-55,Republican,Republican,Republican,10-3
North Dakota,Republican,Republican,Republican,37-10,Republican,79-15,Republican,Republican,Republican,0-0
Ohio,Republican,Republican,Republican,24-9,Republican,61-38,Democratic,Republican,Republican,12-4
Oklahoma,Republican,Republican,Republican,39-9,Republican,77-24,Republican,Republican,Republican,4-1
Oregon,Democratic,Democratic,Democratic,18-12,Democratic,38-22,Democratic,Democratic,Democratic,4-1
Pennsylvania,Republican,Democratic,Republican,28-22,Republican,110-93,Democratic,Republican,Tied,9-9
Rhode Island,Democratic,Democratic,Democratic,33-5,Democratic,66-9,Democratic,Democratic,Democratic,2-0
South Carolina,Republican,Republican,Republican,27-19,Republican,80-44,Republican,Republican,Republican,5-2
South Dakota,Republican,Republican,Republican,30-5,Republican,59-11,Republican,Republican,Republican,0-0
Tennessee,Republican,Republican,Republican,28-5,Republican,73-26,Republican,Republican,Republican,7-2
Texas,Republican,Republican,Republican,19-12,Republican,83-67,Republican,Republican,Republican,23-13
Utah,Republican,Republican,Republican,23-6,Republican,59-16,Republican,Republican,Republican,3-1
Vermont,Democratic,Republican,Democratic,22-6,Democratic,95-43,Democratic,Independent[e] ,Democratic,0-0
Virginia,Democratic,Democratic,Democratic,21-19,Democratic,55-45,Democratic,Democratic,Democratic,7-4
Washington,Democratic,Democratic,Democratic,29-20,Democratic,57-41,Democratic,Democratic,Democratic,7-3
West Virginia,Republican,Republican,Republican,20-14,Republican,59-41,Democratic,Republican,Republican,3-0
Wisconsin,Republican,Democratic,Republican,19-14,Republican,63-36,Republican,Democratic,Republican,5-3
Wyoming,Republican,Republican,Republican,27-3,Republican,50-9-1,Republican,Republican,Republican,0-0
American Samoa,NA,Democratic,Independent,0-0,Independent,0-0,NA,NA,NA,NA
District of Columbia,Democratic,Democratic,Democratic,0-0,Democratic,11-0,Democratic,NA,NA,NA
Guam,NA,Democratic,Democratic,0-0,Democratic,10-5,NA,NA,NA,NA
Northern Mariana Islands,NA,Republican,Republican,14-0,Republican,7-0,NA,NA,NA,NA
Puerto Rico,NA,Democratic,Democratic,34-16,Democratic,21-4,NA,NA,NA,NA
US Virgin Islands,NA,Democratic,Democratic,0-0,Democratic,13-0,NA,NA,NA,NA
